Date,BTC,XRP,LTC,ETH,ADA
2017-12-30,12531.52,1.86,212.07,692.99,0.59
2017-12-31,13850.4,1.98,226.52,741.13,0.71
2018-01-01,13444.88,2.05,224.34,756.2,0.7022
2018-01-02,14754.13,2.19,251.81,861.97,0.762
2018-01-03,15156.62,2.73,244.63,941.1,1.1
2018-01-04,15180.08,2.73,238.3,944.83,1.13
2018-01-05,16954.78,2.51,244.51,967.13,1.01
2018-01-06,17172.3,2.65,278.92,1006.41,1.04
2018-01-07,16228.16,2.78,271.57,1117.75,1.01
2018-01-08,14976.17,2.41,254.25,1136.11,0.9
2018-01-09,14468.5,2.06,246.04,1289.24,0.81
2018-01-10,14919.49,1.95,249.1,1248.99,0.7765
2018-01-11,13308.06,1.93,226.53,1139.32,0.68
2018-01-12,13841.19,2.02,235.35,1261.03,0.895
2018-01-13,14243.12,2.0,257.94,1385.02,0.879
2018-01-14,13638.63,1.83,236.86,1359.48,0.8
2018-01-15,13631.98,1.66,231.89,1278.69,0.77
2018-01-16,11282.49,1.15,183.86,1050.26,0.61
2018-01-17,11162.7,1.31,188.21,1024.69,0.6242
2018-01-18,11175.52,1.57,191.03,1012.97,0.65
2018-01-19,11521.76,1.54,192.27,1037.36,0.6441
2018-01-20,12783.94,1.57,210.68,1150.5,0.7048
2018-01-21,11549.93,1.37,190.73,1049.09,0.61
2018-01-22,10814.52,1.34,179.42,999.64,0.5675
2018-01-23,10858.23,1.34,177.92,984.47,0.5601
2018-01-24,11429.02,1.36,180.59,1061.78,0.628
2018-01-25,11202.69,1.3,178.97,1057.15,0.635
2018-01-26,10814.57,1.19,172.94,1028.92,0.611
2018-01-27,11504.84,1.22,181.14,1116.45,0.6256
2018-01-28,11800.88,1.37,193.13,1231.86,0.6456
2018-01-29,11130.21,1.26,179.07,1154.15,0.5904
2018-01-30,10242.7,1.14,168.01,1082.71,0.525
2018-01-31,10141.6,1.11,161.46,1100.96,0.503
2018-02-01,9052.98,0.9415,139.93,1006.19,0.4119
2018-02-02,8801.43,0.9008,131.0,909.68,0.3896
2018-02-03,9133.51,0.9424,155.96,960.19,0.457
2018-02-04,8433.93,0.8457,152.71,849.03,0.4
2018-02-05,6842.69,0.672,123.55,688.34,0.312
2018-02-06,7644.83,0.7496,141.89,772.53,0.34
2018-02-07,7863.87,0.7375,142.49,792.31,0.345
2018-02-08,8253.94,0.764,148.75,811.14,0.344
2018-02-09,8593.7,0.894,158.61,863.68,0.375
2018-02-10,8580.38,1.05,156.34,854.54,0.3865
2018-02-11,8315.35,0.9958,153.68,832.47,0.36200000000000004
2018-02-12,8900.54,1.04,161.62,867.42,0.37
2018-02-13,8578.59,0.9892,158.89,839.47,0.355
2018-02-14,9455.85,1.14,213.99,921.04,0.387
2018-02-15,10088.36,1.12,216.41,930.25,0.39299999999999996
2018-02-16,10221.44,1.12,230.72,942.28,0.3921
2018-02-17,10950.28,1.18,230.2,971.9,0.41
2018-02-18,10603.75,1.09,215.89,918.13,0.3686
2018-02-19,11096.37,1.11,221.72,935.79,0.374
2018-02-20,11443.76,1.03,234.13,894.2,0.35
2018-02-21,10487.78,0.955,211.24,841.01,0.33299999999999996
2018-02-22,9971.59,0.8996,194.42,807.69,0.3127
2018-02-23,10169.53,0.9456,208.79,853.89,0.32
2018-02-24,9631.16,0.8944,202.27,829.14,0.2995
2018-02-25,9692.76,0.9114,219.71,847.18,0.327
2018-02-26,10370.51,0.9309,220.85,868.85,0.33
2018-02-27,10756.24,0.9393,217.39,877.72,0.3306
2018-02-28,10435.13,0.8959,205.23,858.47,0.3083
2018-03-01,10981.25,0.9186,211.41,871.33,0.304
2018-03-02,11127.48,0.9046,207.8,859.22,0.2928
2018-03-03,11409.44,0.8962,210.31,856.77,0.2912
2018-03-04,11419.18,1.01,211.61,861.49,0.303
2018-03-05,11582.28,0.9497,211.35,854.35,0.2977
2018-03-06,10783.31,0.9133,198.67,818.41,0.278
2018-03-07,9955.82,0.8532,185.47,754.94,0.2465
2018-03-08,9295.35,0.8061,174.93,692.07,0.2131
2018-03-09,9245.25,0.8272,188.53,711.5,0.21
2018-03-10,8857.16,0.7818,178.96,689.31,0.2028
2018-03-11,9528.61,0.818,188.41,721.3,0.2205
2018-03-12,9069.6,0.7821,177.4,690.96,0.2198
2018-03-13,9172.47,0.7769,175.7,689.32,0.2147
2018-03-14,8195.38,0.6786,160.94,601.69,0.192
2018-03-15,8338.49,0.69,166.27,613.39,0.1822
2018-03-16,8503.46,0.6903,168.3,611.11,0.1805
2018-03-17,8028.06,0.6418,156.03,562.96,0.154
2018-03-18,8165.37,0.6462,153.24,530.83,0.153
2018-03-19,8522.47,0.6857,159.08,539.95,0.18899999999999997
2018-03-20,8965.18,0.7044,169.28,561.1,0.2021
2018-03-21,8850.45,0.6708,167.0,556.26,0.2075
2018-03-22,8707.28,0.6488,163.13,537.58,0.1965
2018-03-23,8673.0,0.6272,164.17,531.23,0.1807
2018-03-24,8652.18,0.6367,160.74,527.45,0.1882
2018-03-25,8640.39,0.6459999999999999,162.39,532.11,0.1874
2018-03-26,7895.7,0.5761,143.67,473.9,0.1578
