Date,LOCK.UK,INRG.UK,DGTL.UK,ECAR.UK,IQQQ.DE,HEAL.UK,2B76.DE,XASX.UK,IDAP.UK
2019-02-25,4.98125,435.2,6.5875,5.1455,36.925,6.575,6.542000000000001,407.74,24.991999999999997
2019-02-26,4.96125,426.56,6.55875,5.118,36.785,6.57375,6.492000000000001,406.79,25.029
2019-02-27,4.928,421.86,6.55375,5.0875,36.68,6.60125,6.46,403.63,24.86
2019-02-28,4.915,422.81,6.56375,5.077,36.67,6.58375,6.406000000000001,403.68,24.789
2019-03-01,4.93375,423.41,6.57875,5.105,36.625,6.655,6.444,404.64,24.741
2019-03-04,4.933,426.46,6.55875,5.0915,36.905,6.68125,6.499,406.64,24.784000000000002
2019-03-05,4.931,431.2,6.58125,5.0835,36.985,6.71375,6.513999999999999,409.86,24.81
2019-03-06,4.93325,426.56,6.56125,5.053999999999999,36.775,6.63875,6.465,410.04,24.85
2019-03-07,4.8625,423.46,6.48375,4.9395,36.85,6.53375,6.401,407.17,24.764
2019-03-08,4.822,420.61,6.45375,4.88375,36.46,6.48125,6.313,404.89,24.535999999999998
2019-03-11,4.90075,428.21,6.54375,4.93,37.015,6.56875,6.425,405.39,24.726999999999997
2019-03-12,4.934,434.1,6.57875,4.961,37.11,6.66125,6.4479999999999995,407.17,24.791999999999998
2019-03-13,4.94825,430.31,6.62125,4.94625,37.1,6.7075,6.47,406.99,24.769000000000002
2019-03-14,4.9315,429.01,6.61125,4.87525,37.16,6.66875,6.457999999999999,409.51,24.680999999999997
2019-03-15,4.977,428.81,6.63875,4.93775,37.4,6.70875,6.497999999999999,412.19,24.819000000000003
2019-03-18,4.9585,433.45,6.64375,4.94,37.315,6.66625,6.504,414.96,24.764
2019-03-19,4.9935,434.7,6.69875,4.9825,37.53,6.71625,6.569,417.11,24.789
2019-03-20,4.9425,432.4,6.65625,4.92675,37.065,6.67125,6.504,414.94,24.539
2019-03-21,4.99175,437.65,6.69875,4.9515,37.395,6.66625,6.566,418.31,24.497
2019-03-22,4.92575,423.96,6.60625,4.856,37.195,6.53125,6.53,409.86,24.245
2019-03-25,4.90125,422.01,6.58125,4.8115,37.025,6.46875,6.45,408.17,24.176
2019-03-26,4.933,421.61,6.64125,4.8389999999999995,37.255,6.54875,6.5329999999999995,409.24,24.386999999999997
2019-03-27,4.89625,421.81,6.595,4.811,37.215,6.4425,6.492999999999999,408.27,24.148000000000003
2019-03-28,4.9215,427.71,6.61125,4.78825,37.1,6.4725,6.521,410.89,24.299
2019-03-29,4.971,433.9,6.7025,4.828,37.41,6.56,6.6129999999999995,414.16,24.561
2019-04-01,5.0365,433.0,6.7725,4.954,37.675,6.5775,6.757000000000001,416.26,24.855999999999998
2019-04-02,5.038,438.0,6.75875,4.975,37.725,6.535,6.82,420.18,24.836
2019-04-03,5.1045,437.8,6.83,5.085,37.83,6.59375,6.919,421.68,24.92
2019-04-04,5.0705,441.5,6.77875,5.09,37.965,6.53,6.895,421.0,24.801
2019-04-05,5.091,449.14,6.8425,5.138999999999999,38.005,6.57875,6.944,424.47,24.879
2019-04-08,5.086,447.54,6.81875,5.127999999999999,37.885,6.5475,6.921,423.1,24.754
2019-04-09,5.0925,446.04,6.82125,5.127999999999999,37.395,6.54625,6.906000000000001,422.37,24.604
2019-04-10,5.119,446.64,6.85375,5.141,37.64,6.5775,6.945,421.8,24.599
2019-04-11,5.131,444.54,6.875,5.162999999999999,37.665,6.5525,6.925,406.32,24.649
2019-04-12,5.164,442.6,6.9275,5.22,37.655,6.555,6.938,407.1,24.943
2019-04-15,5.1845,444.2,6.925,5.233,37.685,6.51125,6.981,408.02,24.866
2019-04-16,5.212000000000001,447.94,6.9575,5.261,37.955,6.49375,7.031000000000001,410.15,25.059
2019-04-17,5.1905,448.84,6.9175,5.343,37.695,6.32875,7.0329999999999995,410.02,25.076999999999998
2019-04-18,5.1425,448.54,6.85125,5.3845,37.94,6.18875,7.053,409.7,25.215
